Number;Area;Address
м.Київ - Відділ ведення ДРВ Голосіївської районної в місті Києві державної адміністрації;;
Звичайні виборчі дільниці:;;
800065;м.Київ – вул.Бурмистенка: 25–42- вул.Водогінна, вул.Гатна, вул.Гвардійська, вул.Генерала Доватора, вул.Гориста, вул.Деміївська: 12–14- вул.Козацька, вул.Краматорська, вул.Криворізька, вул.Маршала Говорова, вул.Москвіна, вул.Нікопольська, вул.Професора Буйка, вул.П’ятигорська, вул.Тихорецька, вул.Ужгородська, вул.Холмогорська, вул.Хотівська, вул.Широка, пров.Бурмистенка, пров.Васильківський, пров.Генерала Доватора, пров.Гористий, пров.Козацький, пров.Краматорський, пров.Москвіна, пров.П’ятигорський, пров.Тихорецький, пров.Холмогорський;вул.Козацька, 5, м.Київ, 03039 (спеціалізована школа №110, актовий зал)
800066;м.Київ – пров.Деміївський, просп.Голосіївський: 30А–62- просп.Лобановського Валерія: 134А, 136А, 138, 140, 150/162 (150) к.2, 152А, 156, 196-;просп.Голосіївський, 36, м.Київ, 03039 (спеціалізована школа №85, вестибюль)
800067;м.Київ – просп.Голосіївський: 5–15Б-;"вул.Голосіївська, 12, м.Київ, 03039 (ліцей ""Голосіївський"" №241, спортивний зал)"
800068;м.Київ – вул.Віктора Забіли, вул.Голосіївська: 4, 6–10, 14–18- просп.Голосіївський: 21–27-;"вул.Голосіївська, 12, м.Київ, 03039 (ліцей ""Голосіївський"" №241, 2-й вестибюль)"
800069;м.Київ – вул.Деміївська: 35–45А- просп.Голосіївський: 68, 74А-;"вул.Деміївська, 33, м.Київ, 03040 (КП ""ЖЕО-103"", спортивний клуб ""Бадьорість"", спортивний зал)"
800070;м.Київ – вул.Деміївська: 45Б–59- вул.Маричанська: 16- вул.Михайла Стельмаха: 14–22- просп.Голосіївський: 70 к.2–74-;вул.Васильківська, 12, м.Київ, 03040 (спеціалізована школа №15, рожевий зал, 1-й поверх)
800071;м.Київ – вул.Васильківська: 2–4, 6, 8–8А, 18-;вул.Васильківська, 12, м.Київ, 03040 (спеціалізована школа №15, спортивний зал, 1-й поверх)
800072;м.Київ – вул.Льва Толстого: 25, 27, 33, 39, 41, 43- вул.Микільсько-Ботанічна: 3–5, 7/9, 11, 15/17–31- вул.Паньківська: 6–17, 19- вул.Саксаганського: 54/56, 58, 60А, 68, 70А, 70Б, 70/16, 78, 78А, 78Б, 82, 84, 84/86- вул.Тарасівська: 16–18, 20-;вул.Саксаганського, 64, м.Київ, 01033 (ліцей №21, коридор 1-й поверх)
800073;м.Київ – вул.Василя Яна: 16- вул.Гайдара, вул.Жилянська: 49/51, 53, 55, 69/71, 72, 74, 76, 83/53- вул.Либідська, вул.Льва Толстого: 47/107, 49, 51/102- вул.Паньківська: 18, 20–27/78- вул.Саксаганського: 77, 79, 81, 85, 87, 89, 89А, 89Б, 91, 99, 101, 103-;вул.Жилянська, 75, м.Київ, 01032 (спеціалізована школа №165, коридор, 1-й поверх)
800074;м.Київ – вул.Володимирська: 61, 61/11, 63, 64, 65, 67, 69, 71, 73, 75, 76, 76Б, 77, 78, 79, 79А, 81А, 81Б, 83- вул.Льва Толстого: 11, 11/61, 13, 15, 15А, 15Б, 17А, 17Б, 19, 19/1, 23, 23А, 23/1- вул.Микільсько-Ботанічна: 2, 6/8, 10, 14- вул.Паньківська: 3- вул.Саксаганського: 42, 44, 46, 48- вул.Тарасівська: 2–14-;вул.Володимирська, 68, м.Київ, 01033 (Національний університет харчових технологій, учбовий корпус, корп.А, хол)
800075;м.Київ – вул.Антоновича: 3–26/26- вул.Велика Васильківська: 24, 24/1, 26, 26А, 28, 30, 30А, 30Б, 30В, 32А, 32Б, 36, 38, 38А, 40, 42, 42А, 44, 46, 48, 48/18, 48/52- вул.Льва Толстого: 1, 5, 5А, 5А/1- вул.Саксаганського: 20, 22, 22А, 22В, 24, 26/26, 28, 30, 30А, 30Б, 30В, 32, 33/35, 36, 36А, 37, 37К, 38Б, 40, 41А, 41В, 43, 43Б, 45, 51- вул.Тарасівська: 1Б-;вул.Антоновича, 4/6, м.Київ, 01004 (спеціалізована школа №87, актовий зал)
800076;м.Київ – вул.Василя Яна: 2- вул.Володимирська: 82А, 82Б, 82В, 84, 89, 89/91, 92/39, 93, 94А, 96- вул.Жилянська: 41, 43, 43Б, 45, 54, 56, 58, 59, 60, 62/64- вул.Казимира Малевича: 11- вул.Саксаганського: 55, 57А, 57Б, 59Б, 61/17, 63/28, 65, 67, 69- вул.Тарасівська: 19А–19Б, 21–42-;вул.Жилянська, 46, м.Київ, 01033 (cпеціалізована школа №44, коридор, 2-й поверх)
800077;м.Київ – вул.Антоновича: 28–72- вул.Велика Васильківська: 52, 54, 56, 58, 66, 68, 72, 76, 76А, 76Б, 80, 82, 84, 86, 88, 90, 92, 94, 102- вул.Ділова: 9А, 11, 13, 22- вул.Жилянська: 5Б, 5/60, 7, 7А, 7Б, 7В, 9В, 14, 30А, 30/32, 34- вул.Івана Федорова: 10, 12, 26- вул.Саксаганського: 25, 27, 27А, 27Б, 29, 31- вул.Ямська, пров.Фізкультури;вул.Велика Васильківська, 78, м.Київ, 03150 (Спеціалізована школа №112 ім.Т.Шевченка, вестибюль)
800078;м.Київ – вул.Антоновича: 84–102, 104–106- вул.Велика Васильківська: 106, 108, 110, 112- вул.Володимиро-Либідська, вул.Казимира Малевича: 37-41–53/30- вул.Лабораторна: 14, 15, 26А, 28, 33/37-;вул.Антоновича, 130, м.Київ, 03150 (школа №37, коридор, 2-й поверх)
800079;м.Київ – вул.Антоновича: 110–140- вул.Богунська, вул.Велика Васильківська: 114, 116- вул.Волзька, вул.Казимира Малевича: 83- вул.Кіровоградська: 2, 8, 12А, 47- вул.Кочубеївська, вул.Німецька, вул.Профінтерну, вул.Псковська, пров.Богунський, пров.Волзький, пров.Кіровоградський, пров.Псковський, пров.Рататюків;вул.Антоновича, 130, м.Київ, 03150 (школа №37, коридор, 3-й поверх)
800080;м.Київ – вул.Антоновича: 155–170-172- вул.Казимира Малевича: 89–119-;вул.Велика Васильківська, 128, м.Київ, 03150 (школа №130, вестибюль)
800081;м.Київ – вул.Антоновича: 103–103А, 150–154- вул.Велика Васильківська: 118, 120, 122, 124, 124А, 126, 130, 132, 134, 136- вул.Тверська: 16-;вул.Велика Васильківська, 128, м.Київ, 03150 (школа №130, вестибюль)
801092;м.Київ – вул.Академіка Вільямса: 9 к.1–17/11 к.1-;вул.Маршала Конєва, 7А, м.Київ, 03191 (нежитлове приміщення №65 в житловому будинку)
801096;м.Київ – вул.Васильківська: 38–42- вул.Ломоносова: 35, 37–39, 49-;вул.Васильківська, 90, м.Київ, 03022 (Київський національний університет ім. Тараса Шевченка, учбовий корпус, хол I поверху)
Спеціальні виборчі дільниці:;;
800082;"Клінічна лікарня ""Феофанія"" Державного управління справами";вул.Академіка Заболотного, 21, м.Київ, 03680
800083;Національний інститут раку;вул.Ломоносова, 33/43, м.Київ, 03022
800084;Київська міська клінічна лікарня №10;просп.Голосіївський, 59Б, м.Київ, 03039
800085;Лікарня відновного лікування МВС України;Дніпропетровське шосе, 3, м.Київ, 03026
801067;"Товариство з обмеженою відповідальністю ""Санаторій ""Феофанія""";вул.Академіка Лебедєва, 31, м.Київ, 03143
м.Київ - Відділ ведення ДРВ Дарницької районної в місті Києві державної адміністрації;;
Звичайні виборчі дільниці:;;
800086;м.Київ – вул.Здолбунівська: 1–3В- вул.Сортувальна;вул.Здолбунівська, 7Б, м.Київ, 02081 (школа №111, рекреація, 1-й поверх)
800087;м.Київ – вул.Бойка Івана, вул.Здолбунівська: 3Г, 5А, 9Б–11- вул.Кочерги Івана, вул.Любарська, вул.Тепловозна, пров.Кочерги, пров.Любарський, просп.Григоренка Петра: 12-;вул.Здолбунівська, 7Б, м.Київ, 02081 (школа №111, рекреація, 1-й поверх)
800088;м.Київ – вул.Дніпрова, вул.Затишна, вул.Зовнішня, вул.Тальнівська, вул.Урлівська: 36А–40- пров.Заводський, просп.Григоренка Петра: 12А, 14, 16-;вул.Здолбунівська, 7Б, м.Київ, 02081 (школа №111, спортивна зала, 1-й поверх)
800089;м.Київ – вул.Ахматової Анни: 30- вул.Батуринська, вул.Зоотехніків, вул.Урлівська: 20, 24–36- пров.Батуринський, пров.Дніпровий;"вул.Урлівська, 19Б, м.Київ, 02095 (спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 1-й поверх)"
800090;м.Київ – вул.Урлівська: 17–19, 21–23Г-;"вул.Урлівська, 19Б, м.Київ, 02095 (спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 1-й поверх)"
800091;м.Київ – вул.Ахматової Анни: 48–50- вул.Позняківська, вул.Прип’ятська, Дніпровська набережна: 19, 19А, 19В, 23, 25-;"вул.Урлівська, 19Б, м.Київ, 02095 (спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 2-й поверх)"
800092;м.Київ – вул.Ахматової Анни: 43–45, 47- вул.Княжий Затон: 14В, 16А–16В- Дніпровська набережна: 14, 14А, 14Б-;вул.Княжий Затон, 12А, м.Київ, 02095 (Київська інженерна гімназія, коридор, 1-й поверх)
800093;м.Київ – вул.Ахматової Анни: 39А–41- вул.Княжий Затон: 12, 14А–14Б, 14Г- вул.Урлівська: 9-;вул.Княжий Затон, 12А, м.Київ, 02095 (Київська інженерна гімназія, коридор, 1-й поверх)
800094;м.Київ – вул.Урлівська: 1/8–3Б, 5–7-;вул.Княжий Затон, 12А, м.Київ, 02095 (Київська інженерна гімназія, коридор, 2-й поверх)
800095;м.Київ – вул.Ахматової Анни: 31, 33, 35–35А, 37- вул.Урлівська: 14, 16–16/37- просп.Григоренка Петра: 24-;вул.Княжий Затон, 12А, м.Київ, 02095 (Київська інженерна гімназія, коридор, 2-й поверх)
800096;м.Київ – вул.Княжий Затон: 2Б, 4–4А- вул.Урлівська: 4–4А, 8–8А, 10А, 12-;вул.Княжий Затон, 7А, м.Київ, 02095 (спеціалізована школа №314, коридор, 1-й поверх)
800097;м.Київ – вул.Ахматової Анни: 35Б- вул.Княжий Затон: 2/30- просп.Григоренка Петра: 26А, 28–28В-;вул.Княжий Затон, 7А, м.Київ, 02095 (спеціалізована школа №314, коридор, 1-й поверх)
800098;м.Київ – вул.Срібнокільська: 1–1/2, 3А–3В, 8, 12-;вул.Княжий Затон, 7А, м.Київ, 02095 (спеціалізована школа №314, коридор, 1-й поверх)
800099;м.Київ – вул.Княжий Затон: 3, 5–9- вул.Срібнокільська: 2А, 4, 8А-;вул.Княжий Затон, 7А, м.Київ, 02095 (спеціалізована школа №314, коридор, 1-й поверх)
800100;м.Київ – вул.Княжий Затон: 11- вул.Срібнокільська: 14–14А-;вул.Княжий Затон, 17В, м.Київ, 02095 (школа №62, їдальня, 1-й поверх)
800101;м.Київ – вул.Княжий Затон: 13, 15, 17–17Б- вул.Срібнокільська: 16, 22А-;вул.Княжий Затон, 17В, м.Київ, 02095 (школа №62, коридор, 1-й поверх)
